State,Number,Type
Andhra Pradesh, 0866-2410978, State
Arunachal Pradesh, 9536055743, State
Assam, 6913347770, State
Bihar, 104, State
Chhattisgarh, 077122-35091, State
Goa, 104, State
Gujarat, 104, State
Haryana, 8558893911, State
Himachal Pradesh, 104, State
Jharkhand, 104, State
Karnataka, 104, State
Kerala, 0471-2552056, State
Madhya Pradesh, 0755-2527177, State
Maharashtra, 020-26127394, State
Manipur, 3852411668, State
Meghalaya, 9366090748, State
Mizoram, 102, State
Nagaland, 7005539653, State
Odisha, 9439994859, State
Punjab,	104, State
Rajasthan, 0141-2225624, State
Sikkim,	104, State
Tamil Nadu, 044-29510500, State
Telangana, 104, State
Tripura, 0381-2315879, State
Uttarakhand, 104, State
Uttar Pradesh, 18001805145, State
West Bengal, 3323412600, State
Andaman and Nicobar Islands, 03192-232102, Union Territory
Chandigarh,	9779558282, Union Territory
Dadra and Nagar Haveli and Daman & Diu, 104, Union Territory
Delhi, 011-22307145, Union Territory
Jammu & Kashmir, 1912520982 0194-2440283, Union Territory
Ladakh,	1982256462, Union Territory
Lakshadweep, 4896263742, Union Territory
Puducherry, 104, Union Territory
